City ID,City Name,Country Code,Date,Latitude,Longitude,Humidity,Max Temperature,Cloudiness,Wind Speed
146,yellowknife,ca,04/29/18,62.45,-114.38,80,33.8,40,8.05
147,tilichiki,ru,04/29/18,60.47,166.1,91,31.75,92,9.19
148,sehnde,de,04/29/18,52.31,9.96,59,60.8,0,9.17
149,aklavik,ca,04/29/18,68.22,-135.01,67,17.6,20,9.17
150,rawdon,ca,04/29/18,46.05,-73.71,87,44.6,90,8.05
151,tuatapere,nz,04/29/18,-46.13,167.69,100,47.14,100,8.63
152,eskisehir,tr,04/29/18,39.78,30.52,45,66.2,0,10.29
153,monteiro,br,04/29/18,-7.89,-37.12,96,67.84,32,5.95
154,lunglei,in,04/29/18,22.89,92.75,41,84.22,20,2.15
155,porto novo,cv,04/29/18,17.02,-25.06,77,69.8,75,14.99
156,baruun-urt,mn,04/29/18,46.68,113.28,28,52.27,32,9.64
157,east valencia,ph,04/29/18,10.67,122.71,51,88.54,8,8.75
158,antofagasta,cl,04/29/18,-23.65,-70.4,82,62.6,75,3.36
159,gazojak,tm,04/29/18,41.19,61.4,44,86.83,64,4.16
160,ashti,in,04/29/18,18.8,75.17,23,103.39,0,8.97
161,kavaratti,in,04/29/18,10.57,72.64,100,84.94,12,10.2
162,candolim,in,04/29/18,15.52,73.76,79,90.43,0,14.23
163,sitka,us,04/29/18,37.17,-99.65,39,62.26,44,15.01
164,margate,za,04/29/18,-30.86,30.37,99,67.84,24,8.3
165,mahebourg,mu,04/29/18,-20.41,57.7,54,82.4,40,13.87
166,college,us,04/29/18,64.86,-147.8,64,35.6,40,6.85
167,lubumbashi,cd,04/29/18,-11.66,27.48,55,77.74,0,13.22
168,severo-kurilsk,ru,04/29/18,50.68,156.12,98,32.47,68,12.77
169,yenagoa,ng,04/29/18,4.92,6.26,85,86.74,8,7.18
170,pouembout,nc,04/29/18,-21.12,164.9,76,69.91,20,5.73
171,benguela,ao,04/29/18,-12.58,13.4,92,82.78,0,3.15
172,santa lucia,es,04/29/18,27.91,-15.54,59,62.6,40,18.34
173,tilaran,cr,04/29/18,10.47,-84.97,88,70.18,0,2.48
174,avarua,ck,04/29/18,-21.21,-159.78,83,71.6,20,2.24
175,mandera,ke,04/29/18,3.94,41.87,80,84.67,8,7.63
176,iqaluit,ca,04/29/18,63.75,-68.52,78,8.6,40,8.05
177,parana,br,04/29/18,-7.52,-72.89,94,75.2,90,2.15
178,abu kamal,sy,04/29/18,34.45,40.92,100,67.48,32,4.61
179,deputatskiy,ru,04/29/18,69.3,139.9,80,16.81,32,6.73
180,tual,id,04/29/18,-5.67,132.75,100,82.42,56,11.32
181,lima,pe,04/29/18,-12.06,-77.04,90,55.69,24,1.92
182,lugovoy,ru,04/29/18,59.72,65.88,91,49.12,76,15.23
183,mayo,ca,04/29/18,63.59,-135.9,47,35.6,40,9.17
184,karratha,au,04/29/18,-20.74,116.85,21,93.31,12,6.73
185,leshan,cn,04/29/18,29.56,103.76,36,85.39,8,5.5
186,waipawa,nz,04/29/18,-39.94,176.59,92,56.95,64,11.54
187,mogadishu,so,04/29/18,2.04,45.34,79,86.0,40,10.29
188,kitimat,ca,04/29/18,54.02,-128.69,52,41.0,20,5.82
189,murray,us,04/29/18,40.67,-111.89,50,59.0,1,6.93
190,leningradskiy,ru,04/29/18,69.38,178.42,94,21.67,64,2.04
191,rock sound,bs,04/29/18,24.9,-76.2,100,77.11,12,2.71
192,kupang,id,04/29/18,-10.16,123.6,79,84.13,0,11.65
193,constitucion,cl,04/29/18,-35.33,-72.42,100,47.68,8,1.7
194,vammala,fi,04/29/18,61.34,22.91,93,44.6,75,2.24
